Function,FunctionID,Algorithm,Run,Seed,BestFitness,Fopt,BestError,RestartCount,RestartedParticlesTotal,Runtime,FEs
F27,27,ARPSO-Local,23,22963452,2723.5396776228176,2700.0,23.539677622817635,3770,34400,296.0371153354645,300000
F27,27,ARPSO-Local,24,22963453,2721.0072125050674,2700.0,21.0072125050674,3776,34000,298.66029143333435,300000
F27,27,ARPSO-Local,25,22963454,2725.848997384551,2700.0,25.848997384550785,3714,35426,298.5542380809784,300000
F27,27,ARPSO-Local,26,22963455,2700.0894296282568,2700.0,0.08942962825676659,3861,34304,297.32897210121155,300000
F27,27,ARPSO-Local,27,22963456,2715.3467501462014,2700.0,15.34675014620143,3801,33627,298.61631870269775,300000
F27,27,ARPSO-Local,28,22963457,2715.4584179831845,2700.0,15.458417983184518,3804,35518,297.96951389312744,300000
F27,27,ARPSO-Local,29,22963458,2724.8821902012364,2700.0,24.882190201236426,3637,32550,298.056111574173,300000
F27,27,ARPSO-Local,30,22963459,2732.1577200006805,2700.0,32.157720000680456,3344,33360,300.22380661964417,300000
F27,27,ARPSO-SRR,1,22964430,2721.9193118828643,2700.0,21.91931188286435,2486,16185,296.961953163147,300000
F27,27,ARPSO-SRR,2,22964431,3137.1664338935175,2700.0,437.1664338935175,2393,15957,297.80217003822327,300000
F27,27,ARPSO-SRR,3,22964432,2719.189852121191,2700.0,19.189852121191052,2510,16227,296.6641981601715,300000
F27,27,ARPSO-SRR,4,22964433,3148.6534531431857,2700.0,448.65345314318574,2368,15650,298.7367775440216,300000
F27,27,ARPSO-SRR,5,22964434,2723.2964640989876,2700.0,23.2964640989876,2381,15533,296.6948480606079,300000
F27,27,ARPSO-SRR,6,22964435,3135.8559773641596,2700.0,435.85597736415957,2209,14832,299.58706188201904,300000
F27,27,ARPSO-SRR,7,22964436,2724.9374853997087,2700.0,24.93748539970875,2281,14999,298.3704869747162,300000
F27,27,ARPSO-SRR,8,22964437,3094.0537643354764,2700.0,394.05376433547644,2258,14989,298.30488324165344,300000
F27,27,ARPSO-SRR,9,22964438,2715.6565323611753,2700.0,15.656532361175323,2371,15550,295.13292813301086,300000
F27,27,ARPSO-SRR,10,22964439,2724.6026216616556,2700.0,24.602621661655576,2326,15309,296.5333125591278,300000
F27,27,ARPSO-SRR,11,22964440,2719.2615196540896,2700.0,19.261519654089625,2347,15350,297.350492477417,300000
F27,27,ARPSO-SRR,12,22964441,2720.6121835101103,2700.0,20.6121835101103,2281,15100,295.5376136302948,300000
F27,27,ARPSO-SRR,13,22964442,3158.606828925602,2700.0,458.6068289256018,2242,15062,296.6266555786133,300000
F27,27,ARPSO-SRR,14,22964443,2726.8250512814893,2700.0,26.825051281489323,2278,15039,296.9888415336609,300000
F27,27,ARPSO-SRR,15,22964444,2812.012307545713,2700.0,112.01230754571316,2382,15797,297.5725758075714,300000
F27,27,ARPSO-SRR,16,22964445,2722.0926081524162,2700.0,22.092608152416233,2289,14968,299.51270055770874,300000
F27,27,ARPSO-SRR,17,22964446,2752.5339288241917,2700.0,52.53392882419166,2369,15750,296.8336110115051,300000
F27,27,ARPSO-SRR,18,22964447,2755.0649709926984,2700.0,55.06497099269836,2156,14388,297.62756991386414,300000
F27,27,ARPSO-SRR,19,22964448,3132.4188307405584,2700.0,432.4188307405584,2264,15055,296.4531376361847,300000
F27,27,ARPSO-SRR,20,22964449,3215.396623984177,2700.0,515.396623984177,2318,15632,298.8081200122833,300000
F27,27,ARPSO-SRR,21,22964450,3198.047217985407,2700.0,498.04721798540686,2230,14982,295.7262189388275,300000
F27,27,ARPSO-SRR,22,22964451,3133.802387217113,2700.0,433.80238721711294,2249,15100,298.0018119812012,300000
F27,27,ARPSO-SRR,23,22964452,2725.7134092537503,2700.0,25.713409253750342,2337,15315,298.46245765686035,300000
F27,27,ARPSO-SRR,24,22964453,3143.169423872683,2700.0,443.1694238726832,2230,14983,298.0855987071991,300000
F27,27,ARPSO-SRR,25,22964454,3137.7934560230638,2700.0,437.79345602306375,2245,15065,295.3408091068268,300000
F27,27,ARPSO-SRR,26,22964455,3137.414322165449,2700.0,437.414322165449,2239,15074,297.8314919471741,300000
F27,27,ARPSO-SRR,27,22964456,2727.2066632277374,2700.0,27.20666322773741,2249,14838,296.62750697135925,300000
F27,27,ARPSO-SRR,28,22964457,2726.093351877212,2700.0,26.09335187721217,2276,15052,296.48717617988586,300000
F27,27,ARPSO-SRR,29,22964458,2722.0470053394447,2700.0,22.047005339444695,2507,16138,296.45186161994934,300000
F27,27,ARPSO-SRR,30,22964459,3128.0395827057077,2700.0,428.03958270570774,2219,14934,296.5618386268616,300000
F27,27,ARPSO-EIS,1,22965430,2731.1207227973455,2700.0,31.12072279734548,2166,14050,300.3724012374878,300000
F27,27,ARPSO-EIS,2,22965431,2700.021560464282,2700.0,0.021560464282174507,2181,14300,315.0450236797333,300000
F27,27,ARPSO-EIS,3,22965432,2739.3685924626066,2700.0,39.36859246260656,2467,15490,320.7394735813141,300000
F27,27,ARPSO-EIS,4,22965433,2731.158389730142,2700.0,31.158389730142062,2227,14289,308.47187995910645,300000
F27,27,ARPSO-EIS,5,22965434,2733.84674813355,2700.0,33.846748133550136,2166,13939,328.4936215877533,300000
F27,27,ARPSO-EIS,6,22965435,2828.8409855745494,2700.0,128.84098557454945,2222,14593,324.93321990966797,300000
F27,27,ARPSO-EIS,7,22965436,2736.3978364319705,2700.0,36.39783643197052,2297,14844,311.646630525589,300000
F27,27,ARPSO-EIS,8,22965437,2700.123048691881,2700.0,0.12304869188119483,2352,15050,315.03625988960266,300000
F27,27,ARPSO-EIS,9,22965438,2722.1839004948006,2700.0,22.183900494800582,2394,15442,329.0703082084656,300000
F27,27,ARPSO-EIS,10,22965439,2713.2859041606994,2700.0,13.285904160699374,2240,14380,314.75411462783813,300000
F27,27,ARPSO-EIS,11,22965440,2713.056799134653,2700.0,13.05679913465292,2140,14040,299.1549084186554,300000
F27,27,ARPSO-EIS,12,22965441,3153.5754278896547,2700.0,453.57542788965475,2094,13750,301.7979576587677,300000
F27,27,ARPSO-EIS,13,22965442,2734.3252441209625,2700.0,34.32524412096245,2278,14600,298.3805937767029,300000
F27,27,ARPSO-EIS,14,22965443,2949.306282308147,2700.0,249.30628230814682,2063,13701,299.54467129707336,300000
F27,27,ARPSO-EIS,15,22965444,2724.9067896102747,2700.0,24.9067896102747,2320,14875,298.40287923812866,300000
F27,27,ARPSO-EIS,16,22965445,2720.886235593866,2700.0,20.886235593865877,2265,14570,298.6437463760376,300000
F27,27,ARPSO-EIS,17,22965446,2730.1815886357927,2700.0,30.18158863579265,2331,14933,300.6042106151581,300000
F27,27,ARPSO-EIS,18,22965447,2735.284016954803,2700.0,35.284016954803064,2104,13667,301.24953985214233,300000
F27,27,ARPSO-EIS,19,22965448,2723.378564724357,2700.0,23.378564724357147,2367,15092,299.9270372390747,300000
F27,27,ARPSO-EIS,20,22965449,2720.1896159210564,2700.0,20.18961592105643,2176,14247,299.7097043991089,300000
F27,27,ARPSO-EIS,21,22965450,3151.1358611258233,2700.0,451.13586112582334,2078,13800,299.40843629837036,300000
F27,27,ARPSO-EIS,23,22965452,2720.786387549728,2700.0,20.786387549727806,2259,14424,298.74814009666443,300000
F27,27,ARPSO-EIS,22,22965451,2726.9323064674245,2700.0,26.932306467424496,2199,14115,300.7560157775879,300000
F27,27,ARPSO-EIS,24,22965453,2710.4857160453817,2700.0,10.48571604538165,2343,15043,301.4849772453308,300000
F27,27,ARPSO-EIS,25,22965454,2715.5122514367517,2700.0,15.51225143675174,2459,15550,301.5760118961334,300000
F27,27,ARPSO-EIS,26,22965455,2917.315055132601,2700.0,217.31505513260117,2125,14028,300.18379616737366,300000
F27,27,ARPSO-EIS,27,22965456,2723.200219580688,2700.0,23.2002195806881,2269,14605,298.8415095806122,300000
