FunctionID,Function,Algorithm,FE,MeanBestError,StdBestError
1,F1,ARPSO-SRR,260000,9025.630404168574,7749.688580754798
1,F1,ARPSO-SRR,265000,9006.617544206192,7757.572823976628
1,F1,ARPSO-SRR,270000,9003.36658198964,7759.016478824839
1,F1,ARPSO-SRR,275000,9002.348406339288,7759.457093513721
1,F1,ARPSO-SRR,280000,9002.118341193618,7759.559539356086
1,F1,ARPSO-SRR,285000,9002.050410121221,7759.580621849658
1,F1,ARPSO-SRR,290000,9001.979802331623,7759.592404293501
1,F1,ARPSO-SRR,295000,9001.900081189591,7759.581543263617
1,F1,ARPSO-SRR,300000,10180.426253472258,8190.210891776481
1,F1,PSO-RS,5000,7526875521.9540825,2454688505.906301
1,F1,PSO-RS,10000,6213019881.807528,1526472152.3536909
1,F1,PSO-RS,15000,5664691461.683289,1543103001.4892657
1,F1,PSO-RS,20000,5300414332.911032,1517534407.2121203
1,F1,PSO-RS,25000,4995619113.57048,1347936787.1085346
1,F1,PSO-RS,30000,4625861070.440129,1342339654.3156176
1,F1,PSO-RS,35000,4212939266.267752,1144588655.949191
1,F1,PSO-RS,40000,3951841159.0745096,1015097926.4395331
1,F1,PSO-RS,45000,3547698323.4717536,1017443768.493427
1,F1,PSO-RS,50000,3190625781.3654075,903016488.6840272
1,F1,PSO-RS,55000,2916679347.8646393,892770777.1824282
1,F1,PSO-RS,60000,2656516115.895056,916690989.8471634
1,F1,PSO-RS,65000,2461399591.4145694,945138495.4694492
1,F1,PSO-RS,70000,2270353874.150218,962085086.2645786
1,F1,PSO-RS,75000,2098199696.8452942,955644574.6266335
1,F1,PSO-RS,80000,1840276284.0413516,844810429.0867413
1,F1,PSO-RS,85000,1669913216.246278,853411334.8585665
1,F1,PSO-RS,90000,1543174547.7612982,894350719.4021598
1,F1,PSO-RS,95000,1437275127.25224,853913327.3636167
1,F1,PSO-RS,100000,1376444719.8637319,844846433.4811679
1,F1,PSO-RS,105000,1157725059.0180163,747059115.8572602
1,F1,PSO-RS,110000,1063501731.154579,730060757.8696538
1,F1,PSO-RS,115000,979704964.8637998,689287166.0936549
1,F1,PSO-RS,120000,863562551.7367785,648971552.3592116
1,F1,PSO-RS,125000,797973994.7528738,655353863.0862097
1,F1,PSO-RS,130000,724178765.3872558,621471644.9419677
1,F1,PSO-RS,135000,662395474.6271659,590087887.3060333
1,F1,PSO-RS,140000,545188368.276515,553170722.8985616
1,F1,PSO-RS,145000,468788543.97112876,555445016.4391359
1,F1,PSO-RS,150000,444182158.7349712,562364731.4868228
1,F1,PSO-RS,155000,433926621.47784144,565452948.2779841
1,F1,PSO-RS,160000,332334444.7063649,469943537.9756581
1,F1,PSO-RS,165000,313272411.5180779,460691828.02051455
1,F1,PSO-RS,170000,271723517.86797214,430813415.4900354
1,F1,PSO-RS,175000,214629114.22111684,389281672.815901
1,F1,PSO-RS,180000,205166479.2734676,390783714.54773194
1,F1,PSO-RS,185000,181617267.63335565,361653407.11997074
1,F1,PSO-RS,190000,150329430.9471317,348765953.79139274
1,F1,PSO-RS,195000,127159173.48465551,336492272.8657867
1,F1,PSO-RS,200000,62766430.70129248,235892512.99278805
1,F1,PSO-RS,205000,33389970.975371912,103637832.79912134
1,F1,PSO-RS,210000,25450235.074775238,75768234.7648021
1,F1,PSO-RS,215000,24637319.47678652,74117431.5328626
1,F1,PSO-RS,220000,24440482.34775231,73990426.82256629
1,F1,PSO-RS,225000,24303446.912533484,73799504.7498789
1,F1,PSO-RS,230000,24262058.209984295,73787217.05113253
1,F1,PSO-RS,235000,24231999.42852848,73788754.53064334
1,F1,PSO-RS,240000,9860899.67423601,44550607.282948956
1,F1,PSO-RS,245000,8293310.862096789,44122464.11989959
1,F1,PSO-RS,250000,8107467.046771276,44148562.12667457
1,F1,PSO-RS,255000,8088064.983958257,44150825.01639676
1,F1,PSO-RS,260000,8078796.311332957,44152281.60349708
1,F1,PSO-RS,265000,8074597.61195378,44152903.58448849
1,F1,PSO-RS,270000,8071974.083469215,44153383.184308
1,F1,PSO-RS,275000,8070889.206227716,44153535.98455285
1,F1,PSO-RS,280000,8070345.251138376,44153620.555633225
1,F1,PSO-RS,285000,8070059.1205647625,44153662.75511164
1,F1,PSO-RS,290000,8069854.152015426,44153697.28321112
1,F1,PSO-RS,295000,8069747.928259536,44153695.761774436
1,F1,PSO-RS,300000,8965854.411908759,46541999.6965253
3,F3,ARPSO-EIS,5000,699.1062339230022,466.65911908620745
3,F3,ARPSO-EIS,10000,565.5943537356027,434.7866086341687
3,F3,ARPSO-EIS,15000,455.4556072917929,263.37128778729317
3,F3,ARPSO-EIS,20000,415.51501963478063,246.51880169998404
3,F3,ARPSO-EIS,25000,362.7716842156477,207.190932823045
3,F3,ARPSO-EIS,30000,331.3966966720183,199.54982494049082
3,F3,ARPSO-EIS,35000,304.86122656515084,191.72872037920214
3,F3,ARPSO-EIS,40000,282.853918465395,175.3967452509205
3,F3,ARPSO-EIS,45000,248.4186042114923,148.02510760619415
3,F3,ARPSO-EIS,50000,228.0994871050925,138.0042883011683
3,F3,ARPSO-EIS,55000,208.9088693269592,143.15423592161832
3,F3,ARPSO-EIS,60000,193.9226349225198,139.8365348338822
3,F3,ARPSO-EIS,65000,178.06291937460063,133.5293478698878
3,F3,ARPSO-EIS,70000,163.7251241788791,129.45095766309313
3,F3,ARPSO-EIS,75000,150.93764952887759,125.69170032714258
3,F3,ARPSO-EIS,80000,141.24113787909576,126.14389622726056
3,F3,ARPSO-EIS,85000,132.75751531320756,125.58203995327997
3,F3,ARPSO-EIS,90000,125.52786390727752,124.90669096268363
3,F3,ARPSO-EIS,95000,118.02076631890752,122.73911996936272
3,F3,ARPSO-EIS,100000,109.96599080982163,118.33423684591878
3,F3,ARPSO-EIS,105000,104.61385190352911,114.92024806266369
3,F3,ARPSO-EIS,110000,101.46056326675992,113.35849328234985
3,F3,ARPSO-EIS,115000,98.87192875660092,113.0321683817886
3,F3,ARPSO-EIS,120000,97.17362674849436,112.73418641334992
3,F3,ARPSO-EIS,125000,96.19142797385582,112.98524500321962
3,F3,ARPSO-EIS,130000,94.62198156824464,112.99332533748486
3,F3,ARPSO-EIS,135000,92.31583734934021,113.30003438734224
3,F3,ARPSO-EIS,140000,90.75108620191439,112.88808615558962
3,F3,ARPSO-EIS,145000,88.87733020336671,109.38046498937756
3,F3,ARPSO-EIS,150000,85.56708213953775,97.17299824130444
3,F3,ARPSO-EIS,155000,71.6962184898557,53.02227033357892
3,F3,ARPSO-EIS,160000,68.69427514508615,51.49496605392363
3,F3,ARPSO-EIS,165000,67.31611856604871,50.583516389523524
3,F3,ARPSO-EIS,170000,66.62216654276796,49.739102311320735
3,F3,ARPSO-EIS,175000,65.38402501023633,49.27721258521725
3,F3,ARPSO-EIS,180000,63.98131155766094,48.451473940425636
3,F3,ARPSO-EIS,185000,63.19314088896343,47.835257193265676
3,F3,ARPSO-EIS,190000,62.59702925159163,47.18442617388689
3,F3,ARPSO-EIS,195000,59.48414088481631,43.563603639849205
3,F3,ARPSO-EIS,200000,59.03865903664285,42.98539219497383
3,F3,ARPSO-EIS,205000,58.61306154135729,42.33554416690956
3,F3,ARPSO-EIS,210000,58.06207166990274,41.48237176350984
3,F3,ARPSO-EIS,215000,57.37996050444033,40.33819357025934
3,F3,ARPSO-EIS,220000,57.091753371111494,39.94383270831559
3,F3,ARPSO-EIS,225000,55.959204207070385,38.591647691858995
3,F3,ARPSO-EIS,230000,55.61345067406283,38.23311688953123
3,F3,ARPSO-EIS,235000,55.1379861287102,37.00085255053346
3,F3,ARPSO-EIS,240000,53.87857066860385,33.236855346483274
3,F3,ARPSO-EIS,245000,51.517591811797665,28.777488114378052
3,F3,ARPSO-EIS,250000,50.0473659719297,28.383830078222783
3,F3,ARPSO-EIS,255000,49.91434310275363,28.322714267723065
3,F3,ARPSO-EIS,260000,49.79378919764508,28.185690646516953
