source_file,Algorithm,Function,CurveBin,__rows,MeanBest__min,MeanBest__max
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,36,212,114653192.25065412,158666902.45798856
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,37,256,89190795.30122088,114591730.9772658
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,38,311,78529677.72288872,89075179.27280569
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,39,376,75618301.83689325,78518291.56868048
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,40,456,75343019.30747278,75613301.42203471
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,41,552,5094334.651517432,75342121.80342168
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,42,669,4567443.682437101,5079139.440440622
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,43,810,4567410.879885618,4567443.63793779
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,44,982,1693222.4967930391,4567410.878179233
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F12,45,377,1565669.2893103485,1692849.7822485657
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,3,1,22116596326.7652,22116596326.7652
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,5,1,14017251745.776972,14017251745.776972
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,7,1,9610532122.063791,9610532122.063791
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,8,1,7294791913.806993,7294791913.806993
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,9,1,5274259854.1426325,5274259854.1426325
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,10,2,2979171015.3377523,4023898710.356295
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,11,1,2418619142.4086843,2418619142.4086843
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,12,3,1420340654.541134,1997285632.1526215
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,13,2,1235420681.9204574,1295871187.4442587
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,14,3,891422312.4245542,1098418310.4803224
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,15,4,830118527.4121897,867335328.6621054
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,16,5,690344072.1706581,805978684.0996743
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,17,5,534693448.88768417,668642583.6563045
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,18,7,460757722.6201308,509479532.7624531
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,19,8,416636430.4174704,446907024.3494918
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,20,10,361654408.4713903,409205897.1688904
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,21,12,332553595.6855093,359974844.59044755
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,22,14,304332874.0756539,330223029.35902333
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,23,17,279232195.722345,304332874.0756539
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,24,22,264484385.89341387,277495625.33857286
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,25,25,235380302.7631108,264080313.4368744
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,26,31,214661740.8187388,235380302.7631108
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,27,38,191905910.14014032,213583879.61033675
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,28,46,185593672.38938457,191905910.14014032
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,29,55,166470232.9790813,185593672.38938457
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,30,67,144875543.0414548,166470232.9790813
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,31,81,119624223.25496224,144618921.56192636
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,32,98,101490220.39141709,119624223.25496224
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,33,119,79161862.52332684,101490220.39141709
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,34,144,66392968.36114431,79161862.52332684
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,35,174,51138897.97718072,66149860.96322655
results\cec\cec2017_mean_curves.csv,ARPSO-EIS,CEC2017-F13,36,212,44692155.24007646,50744093.87808997
