source_file,Algorithm,FunctionID,Function,CurveBin,__rows,FE__mean,MeanBestError__mean,MeanBestError__min,MeanBestError__max,StdBestError__mean,StdBestError__min,StdBestError__max
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,64,9,240000.0,164.44106627195973,162.8458303308948,165.16184748658762,39.489491127878274,38.93431775764064,39.729803416137216
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,7,F7,65,8,282500.0,163.3253175381226,162.38866398306075,167.94000000104367,38.862094775993675,37.83525692510258,39.18994488200115
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,44,1,5000.0,11.151224097949653,11.151224097949653,11.151224097949653,4.622360845185404,4.622360845185404,4.622360845185404
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,48,1,10000.0,9.310407651661071,9.310407651661071,9.310407651661071,4.548998548772101,4.548998548772101,4.548998548772101
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,50,1,15000.0,8.451312070727727,8.451312070727727,8.451312070727727,4.485784519650889,4.485784519650889,4.485784519650889
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,51,1,20000.0,7.976510947343513,7.976510947343513,7.976510947343513,4.382046617896869,4.382046617896869,4.382046617896869
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,52,1,25000.0,7.393889529225616,7.393889529225616,7.393889529225616,4.29614603772384,4.29614603772384,4.29614603772384
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,53,1,30000.0,6.826183948647508,6.826183948647508,6.826183948647508,4.282583801103622,4.282583801103622,4.282583801103622
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,54,1,35000.0,6.438493599631352,6.438493599631352,6.438493599631352,3.99720941334369,3.99720941334369,3.99720941334369
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,55,2,42500.0,5.892043055873736,5.709086361495808,6.074999750251664,3.874416025545131,3.789264742069389,3.959567309020873
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,56,2,52500.0,5.493287121351495,5.410148370120949,5.576425872582039,3.810435124423565,3.806670492375503,3.814199756471627
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,57,2,62500.0,5.111741164869123,5.04679307826085,5.176689251477395,3.624682071141854,3.58986857028566,3.659495571998048
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,58,3,75000.0,4.81241882799758,4.636774722648807,4.980792926468405,3.483662105750201,3.415095690971671,3.586539591969985
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,59,3,90000.0,4.41579033788391,4.301816510887291,4.529198203918733,3.3939601218198145,3.3463563069157902,3.42094975722541
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,60,5,110000.0,4.012217919392554,3.872700591789465,4.192450420011949,3.305336447754896,3.2848690651321784,3.3413742079167386
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,61,5,135000.0,3.726764910425363,3.653494461353573,3.8169570208619383,3.289549416643433,3.283797368233503,3.29375626949858
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,62,6,162500.0,3.5657098426073772,3.4929912933292826,3.62761740540656,3.260657940452257,3.239647370272477,3.286178053496942
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,63,8,197500.0,3.4610802678416657,3.435536693643693,3.487198377011983,3.18456463704001,3.175360882126052,3.2365450982999517
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,64,9,240000.0,3.2663158927356095,3.218940939813778,3.4342492942146614,3.0713211293458373,3.051174555748583,3.1780309013662977
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,8,F8,65,8,282500.0,3.1746618436393357,3.0999246544680994,3.218883745195755,3.063963532611615,3.05100233308363,3.094907526232006
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,44,1,5000.0,3846.118499907376,3846.118499907376,3846.118499907376,747.5195917477054,747.5195917477054,747.5195917477054
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,48,1,10000.0,3444.1995652013943,3444.1995652013943,3444.1995652013943,817.0264620655585,817.0264620655585,817.0264620655585
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,50,1,15000.0,3194.3836780601778,3194.3836780601778,3194.3836780601778,821.8298019015158,821.8298019015158,821.8298019015158
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,51,1,20000.0,3007.1458410086084,3007.1458410086084,3007.1458410086084,816.5198119262249,816.5198119262249,816.5198119262249
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,52,1,25000.0,2756.7088620883865,2756.7088620883865,2756.7088620883865,774.6402051678185,774.6402051678185,774.6402051678185
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,53,1,30000.0,2616.8014747341163,2616.8014747341163,2616.8014747341163,831.6755886523221,831.6755886523221,831.6755886523221
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,54,1,35000.0,2552.073878235167,2552.073878235167,2552.073878235167,767.236003829779,767.236003829779,767.236003829779
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,55,2,42500.0,2267.1113651855076,2201.201867599763,2333.020862771252,857.296288015996,840.4845046976134,874.1080713343786
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,56,2,52500.0,1914.3066998781565,1769.0670574424214,2059.5463423138917,921.7948683328565,879.975584842275,963.614151823438
results\cec2017_ablation6\ablation6_mean_curves.csv,ARPSO-EIS,9,F9,57,2,62500.0,1161.3097501759416,972.942818312936,1349.676682038947,957.1214888808458,919.7362522745073,994.5067254871844
