source_file,Algorithm,Function,__rows,Best__sum,Best__count,Best__min,Best__max,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,Best__mean,AvgRestart__mean
results\cec\cec2017_summary_results.csv,GA,CEC2017-F13,1,9123.890179134663,1,9123.890179134663,9123.890179134663,0.0,1,0.0,0.0,9123.890179134663,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F14,1,10666.30749234728,1,10666.30749234728,10666.30749234728,0.0,1,0.0,0.0,10666.30749234728,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F15,1,6472.793835995096,1,6472.793835995096,6472.793835995096,0.0,1,0.0,0.0,6472.793835995096,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F16,1,-603.5914202359163,1,-603.5914202359163,-603.5914202359163,0.0,1,0.0,0.0,-603.5914202359163,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F17,1,426.6632670301019,1,426.6632670301019,426.6632670301019,0.0,1,0.0,0.0,426.6632670301019,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F18,1,6174.048422547002,1,6174.048422547002,6174.048422547002,0.0,1,0.0,0.0,6174.048422547002,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F19,1,2648.0767145682203,1,2648.0767145682203,2648.0767145682203,0.0,1,0.0,0.0,2648.0767145682203,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F20,1,-369.27494628613226,1,-369.27494628613226,-369.27494628613226,0.0,1,0.0,0.0,-369.27494628613226,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F21,1,224.37515859312495,1,224.37515859312495,224.37515859312495,0.0,1,0.0,0.0,224.37515859312495,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F22,1,-11133.506978228044,1,-11133.506978228044,-11133.506978228044,0.0,1,0.0,0.0,-11133.506978228044,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F23,1,564.9595000185609,1,564.9595000185609,564.9595000185609,0.0,1,0.0,0.0,564.9595000185609,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F24,1,521.7080519153451,1,521.7080519153451,521.7080519153451,0.0,1,0.0,0.0,521.7080519153451,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F25,1,422.6828147030842,1,422.6828147030842,422.6828147030842,0.0,1,0.0,0.0,422.6828147030842,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F26,1,692.1320680436629,1,692.1320680436629,692.1320680436629,0.0,1,0.0,0.0,692.1320680436629,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F27,1,462.285094964921,1,462.285094964921,462.285094964921,0.0,1,0.0,0.0,462.285094964921,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F28,1,49.960863621960925,1,49.960863621960925,49.960863621960925,0.0,1,0.0,0.0,49.960863621960925,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F29,1,5783.448356483743,1,5783.448356483743,5783.448356483743,0.0,1,0.0,0.0,5783.448356483743,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F3,1,59.56574130660192,1,59.56574130660192,59.56574130660192,0.0,1,0.0,0.0,59.56574130660192,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F30,1,22537.141898996048,1,22537.141898996048,22537.141898996048,0.0,1,0.0,0.0,22537.141898996048,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F4,1,31.26679866991276,1,31.26679866991276,31.26679866991276,0.0,1,0.0,0.0,31.26679866991276,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F5,1,192.59646905934144,1,192.59646905934144,192.59646905934144,0.0,1,0.0,0.0,192.59646905934144,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F6,1,1.364537865811144e-05,1,1.364537865811144e-05,1.364537865811144e-05,0.0,1,0.0,0.0,1.364537865811144e-05,0.0
results\cec\cec2017_summary_results.csv,GA,CEC2017-F7,1,882.185899586867,1,882.185899586867,882.185899586867,0.0,1,0.0,0.0,882.185899586867,0.0
