source_file,Algorithm,Function,__rows,AvgRestart__sum,AvgRestart__count,AvgRestart__min,AvgRestart__max,StdRestart__sum,StdRestart__count,StdRestart__min,StdRestart__max,MaxRestart__sum,MaxRestart__count,MaxRestart__min,MaxRestart__max,MinRestart__sum,MinRestart__count,MinRestart__min,MinRestart__max,AvgRestart__mean,StdRestart__mean,MaxRestart__mean,MinRestart__mean
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F26,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F27,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F28,1,72.43333333333334,1,72.43333333333334,72.43333333333334,5.184082623153124,1,5.184082623153124,5.184082623153124,74,1,74,74,46,1,46,46,72.43333333333334,5.184082623153124,74.0,46.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F29,1,61.03333333333333,1,61.03333333333333,61.03333333333333,24.06096184813632,1,24.06096184813632,24.06096184813632,74,1,74,74,0,1,0,0,61.03333333333333,24.06096184813632,74.0,0.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F3,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F30,1,71.93333333333334,1,71.93333333333334,71.93333333333334,5.717084700375216,1,5.717084700375216,5.717084700375216,74,1,74,74,45,1,45,45,71.93333333333334,5.717084700375216,74.0,45.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F4,1,73.93333333333334,1,73.93333333333334,73.93333333333334,0.2537081317024645,1,0.2537081317024645,0.2537081317024645,74,1,74,74,73,1,73,73,73.93333333333334,0.2537081317024645,74.0,73.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F5,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F6,1,72.03333333333333,1,72.03333333333333,72.03333333333333,7.43005700694394,1,7.43005700694394,7.43005700694394,74,1,74,74,36,1,36,36,72.03333333333333,7.43005700694394,74.0,36.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F7,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F8,1,60.4,1,60.4,60.4,7.981011948627688,1,7.981011948627688,7.981011948627688,73,1,73,73,41,1,41,41,60.4,7.981011948627688,73.0,41.0
results\cec\cec2017_restart_summary.csv,ARPSO-v4,CEC2017-F9,1,74.0,1,74.0,74.0,0.0,1,0.0,0.0,74,1,74,74,74,1,74,74,74.0,0.0,74.0,74.0
results\cec\cec2017_restart_summary.csv,CLPSO,CEC2017-F1,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0
results\cec\cec2017_restart_summary.csv,CLPSO,CEC2017-F10,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0
results\cec\cec2017_restart_summary.csv,CLPSO,CEC2017-F11,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0
results\cec\cec2017_restart_summary.csv,CLPSO,CEC2017-F12,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0
results\cec\cec2017_restart_summary.csv,CLPSO,CEC2017-F13,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0
