source_file,Algorithm,FunctionID,Function,__rows,BestFitness__sum,BestFitness__count,BestFitness__min,BestFitness__max,BestError__sum,BestError__count,BestError__min,BestError__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RestartedParticlesTotal__sum,RestartedParticlesTotal__count,RestartedParticlesTotal__min,RestartedParticlesTotal__max,Runtime__sum,Runtime__count,Runtime__min,Runtime__max,FEs__sum,FEs__count,FEs__min,FEs__max,BestFitness__mean,BestError__mean,RestartCount__mean,RestartedParticlesTotal__mean,Runtime__mean,FEs__mean
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,22,F22,30,76123.68061791055,30,2400.000650072615,3371.596525472104,10123.680617910553,30,200.0006500726149,1171.596525472104,70416,30,2161,2585,459295,30,13810,17225,2668.304722547531,30,82.88290119171143,102.06894183158876,9000000,30,300000,300000,2537.4560205970183,337.45602059701844,2347.2,15309.833333333334,88.94349075158438,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,23,F23,30,77764.66797642612,30,2500.0041914808253,2914.316600105813,8764.667976426123,30,200.00419148082528,614.3166001058134,72982,30,2324,2556,472064,30,14736,16977,1917.9018392562866,30,61.71341943740845,74.18220472335815,9000000,30,300000,300000,2592.155599214204,292.1555992142041,2432.733333333333,15735.466666666667,63.93006130854289,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,24,F24,30,85125.64033994424,30,2820.984375494614,2913.6172758692583,13125.64033994424,30,420.9843754946141,513.6172758692583,64322,30,2079,2208,419269,30,13540,14650,2302.2766468524933,30,72.5688910484314,85.61375141143799,9000000,30,300000,300000,2837.5213446648077,437.521344664808,2144.0666666666666,13975.633333333333,76.7425548950831,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,25,F25,30,100258.06929822979,30,3326.898945895939,3375.070276913196,25258.06929822979,30,826.898945895939,875.0702769131958,77345,30,2409,2679,523832,30,15773,18531,9364.527603387833,30,303.79577803611755,333.57347345352173,9000000,30,300000,300000,3341.9356432743266,841.9356432743264,2578.1666666666665,17461.066666666666,312.15092011292774,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,26,F26,30,93882.90083909567,30,3087.1860382461846,3200.8031256709146,15882.900839095671,30,487.1860382461846,600.8031256709146,77113,30,2151,2704,526211,30,14448,18894,9523.918928861618,30,315.5755226612091,319.487051486969,9000000,30,300000,300000,3129.430027969856,529.4300279698557,2570.4333333333334,17540.366666666665,317.46396429538726,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,27,F27,30,83525.27531255157,30,2700.021560464282,3174.735057641355,2525.2753125515706,30,0.0215604642821745,474.7350576413551,67177,30,2063,2467,433698,30,13667,15550,9163.099957704544,30,297.0508279800415,329.0703082084656,9000000,30,300000,300000,2784.175843751719,84.17584375171901,2239.233333333333,14456.6,305.4366652568181,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,28,F28,30,531134.3622864144,30,6371.267180526523,60108.827909659485,447134.36228641437,30,3571.2671805265227,57308.827909659485,56437,30,1642,2274,358297,30,10492,14710,13518.216106176376,30,436.781905412674,485.8862237930298,9000000,30,300000,300000,17704.478742880478,14904.47874288048,1881.2333333333333,11943.233333333334,450.60720353921255,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-EIS,29,F29,30,130767201.75793202,30,33338.46431428744,71317147.33300662,130680201.75793202,30,30438.46431428744,71314247.33300662,56179,30,1701,2101,358431,30,10577,14009,7458.697393417358,30,222.4132227897644,256.4669427871704,9000000,30,300000,300000,4358906.725264401,4356006.725264401,1872.6333333333334,11947.7,248.6232464472453,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,1,F1,30,277083.04037950916,30,103.42950965914268,20941.76721741244,274083.04037950916,30,3.429509659142681,20841.76721741244,52894,30,1734,1796,528940,30,17340,17960,211.47526955604553,30,6.4461829662323,7.720958471298218,9000000,30,300000,300000,9236.101345983638,9136.101345983638,1763.1333333333334,17631.333333333332,7.049175651868184,300000.0
results\cec2017_ablation6\ablation6_raw_results.csv,ARPSO-Fixed,3,F3,30,10309.716845217157,30,331.8136333640154,407.05877470677376,1309.7168452171566,30,31.8136333640154,107.05877470677376,50195,30,1629,1708,501950,30,16290,17080,393.67825269699097,30,12.07003402709961,14.441120386123655,9000000,30,300000,300000,343.65722817390525,43.65722817390522,1673.1666666666667,16731.666666666668,13.122608423233032,300000.0
