source_file,Algorithm,Function,__rows,BestValue__sum,BestValue__count,BestValue__min,BestValue__max,RestartCount__sum,RestartCount__count,RestartCount__min,RestartCount__max,RuntimeSeconds__sum,RuntimeSeconds__count,RuntimeSeconds__min,RuntimeSeconds__max,BestValue__mean,RestartCount__mean,RuntimeSeconds__mean
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F30,30,8495433.644186988,30,16127.499751294876,2108848.669789309,2158,30,45,74,4233.787618700124,30,138.7576570000092,144.28501359999063,283181.1214728996,71.93333333333334,141.1262539566708
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F4,30,1286.6494885143698,30,28.99590322381556,108.99908284981352,2218,30,73,74,244.20905880000646,30,7.704567900000256,8.881617900002311,42.88831628381232,73.93333333333334,8.140301960000215
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F5,30,3600.7409874662967,30,75.6166964464395,196.00581091664367,2220,30,74,74,184.56706010000198,30,5.855152500000258,6.686619899999641,120.02469958220989,74.0,6.152235336666733
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F6,30,0.003021031551838252,30,6.924665285623631e-10,0.0008579990820862,2161,30,36,74,1089.5301312000047,30,35.72951969999849,37.34316160000162,0.00010070105172794174,72.03333333333333,36.31767104000016
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F7,30,4708.319637628722,30,105.31002558737303,254.42946620934504,2220,30,74,74,350.5340249000001,30,11.30597260000286,12.318826799997623,156.94398792095743,74.0,11.684467496666668
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F8,30,4828.0,30,86.0,252.0,1812,30,41,73,744.7181393999927,30,24.02951100000064,25.88512520000222,160.93333333333334,60.4,24.823937979999755
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,ARPSO-v4,CEC2017-F9,30,51.830968842237326,30,2.273736754432321e-13,8.363531843386568,2220,30,74,74,366.7764703000139,30,11.759596700001566,13.284956000003149,1.7276989614079108,74.0,12.225882343333797
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F1,30,26714.322741926964,30,251.7529034247025,2252.855627987846,0,30,0,0,241.5800354000021,30,7.198989699998492,9.861761000000117,890.4774247308989,0.0,8.052667846666736
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F10,30,-150164.42296848242,30,-6818.082307167297,-3907.726747281544,0,30,0,0,868.4126777999845,30,27.91163190000225,30.03400159999728,-5005.480765616081,0.0,28.947089259999483
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,CLPSO,CEC2017-F11,30,381242.8171469306,30,1918.463018534053,21185.77942139773,0,30,0,0,670.7749970999939,30,21.39849099999992,23.20426210000005,12708.093904897687,0.0,22.359166569999797
