source_file,Algorithm,FunctionID,Function,CurveBin,__rows,BestFitness__min,BestError__min,BestFitness__max,BestError__max
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,53,30,803.0447995704657,3.0447995704656705,822.64451553225,22.64451553225001
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,54,30,802.3953388958354,2.39533889583538,820.665118080099,20.665118080098978
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,55,60,801.7654726449796,1.7654726449795817,820.5740157106914,20.57401571069136
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,56,60,801.5107177589506,1.510717758950591,818.7826693513504,18.782669351350364
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,57,60,801.2985933488673,1.2985933488672572,818.4470192938448,18.447019293844846
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,58,90,801.2964609051888,1.2964609051888374,818.404872705881,18.40487270588096
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,59,90,801.1376705782016,1.1376705782015506,817.2915076132081,17.29150761320807
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,60,150,800.5779059818805,0.5779059818804626,816.7516502958331,16.751650295833088
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,61,150,800.3694940571794,0.369494057179395,816.4232785993861,16.423278599386094
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,62,180,800.3470569302582,0.3470569302581907,816.2467978523813,16.24679785238129
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,63,240,800.3460412476024,0.346041247602443,816.1123404143556,16.11234041435557
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,64,270,800.346039009607,0.3460390096070114,815.6536585131807,15.653658513180744
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,8,F8,65,238,800.1792084024084,0.1792084024084488,815.5338394079328,15.53383940793276
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,44,30,3291.73904069898,2391.73904069898,6471.875807600814,5571.875807600814
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,48,30,2024.9265041076687,1124.9265041076687,5683.871166467036,4783.871166467036
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,50,30,2024.9265041076687,1124.9265041076687,5668.476088858503,4768.476088858503
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,51,30,2024.9265041076687,1124.9265041076687,5301.176665831472,4401.176665831472
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,52,30,2024.9265041076687,1124.9265041076687,4968.959090664115,4068.959090664115
results\cec2017_ablation6\ablation6_curve_records.csv,ARPSO-EIS,9,F9,53,30,1734.2255907933995,834.2255907933995,4968.959090664115,4068.959090664115
