source_file,Algorithm,FunctionID,Function,Run,__rows,FE__sum,FE__count,RestartIndex__sum,RestartIndex__count,RestartedParticles__sum,RestartedParticles__count,RestartRatio__sum,RestartRatio__count,Diversity__sum,Diversity__count,Stagnation__sum,Stagnation__count,BestFitnessAfterRestart__sum,BestFitnessAfterRestart__count,BestErrorAfterRestart__sum,BestErrorAfterRestart__count,FE__min,RestartIndex__min,RestartedParticles__min,RestartRatio__min,Diversity__min,Stagnation__min,BestFitnessAfterRestart__min,BestErrorAfterRestart__min,FE__max,RestartIndex__max,RestartedParticles__max,RestartRatio__max,Diversity__max,Stagnation__max,BestFitnessAfterRestart__max,BestErrorAfterRestart__max,FE__mean,RestartIndex__mean,RestartedParticles__mean,RestartRatio__mean,Diversity__mean,Stagnation__mean,BestFitnessAfterRestart__mean,BestErrorAfterRestart__mean
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,15,1735,352751300,1735,1505980,1735,17350,1735,347.0,1735,76.13475686900254,1735,2867,1735,4343058.4224984385,1735,873058.4224984386,1735,5910,1,10,0.2,0.032753182917575,0,2350.5942259046587,350.59422590465874,299900,1735,10,0.2,0.0891994214494335,50,7619.816063710229,5619.816063710229,203314.87031700287,868.0,10.0,0.2,0.04388170424726372,1.6524495677233428,2503.203701728207,503.2037017282067
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,16,1764,361031000,1764,1556730,1764,17640,1764,352.8,1764,77.5680708419995,1764,2415,1764,4440548.5391273005,1764,912548.539127301,1764,8610,1,10,0.2,0.0318371717247349,0,2100.002866449513,100.00286644951302,299990,1764,10,0.2,0.071508427237234,50,5049.174349284615,3049.174349284616,204666.09977324263,882.5,10.0,0.2,0.04397282927550992,1.369047619047619,2517.3177659451817,517.3177659451819
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,17,1780,367640950,1780,1585090,1780,17800,1780,356.0,1780,78.25168905225206,1780,2639,1780,4374982.74890357,1780,814982.7489035698,1780,6560,1,10,0.2,0.0325817444920702,0,2301.2191828148525,301.2191828148525,300000,1780,10,0.2,0.0880482189174943,50,7896.247954575056,5896.247954575056,206539.85955056178,890.5,10.0,0.2,0.043961623063062956,1.4825842696629215,2457.855476912118,457.85547691211787
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,18,1769,362761150,1769,1565565,1769,17690,1769,353.8,1769,77.55611987171622,1769,2635,1769,4471174.734244833,1769,933174.7342448323,1769,6110,1,10,0.2,0.0323546758997944,0,2100.002353635321,100.00235363532056,299990,1769,10,0.2,0.0731060469547065,50,4083.766577557067,2083.766577557067,205065.65856416055,885.0,10.0,0.2,0.04384178624743709,1.4895421141888072,2527.5153952768983,527.5153952768978
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,19,1757,362411030,1757,1544403,1757,17570,1757,351.40000000000003,1757,77.16339833593739,1757,2874,1757,4262442.871186154,1757,748442.8711861542,1757,9110,1,10,0.2,0.0327980043587596,0,2298.299826463597,298.2998264635971,299970,1757,10,0.2,0.088673009172678,50,7075.222660895558,5075.222660895558,206266.94934547524,879.0,10.0,0.2,0.043917699678962654,1.6357427433124645,2425.977729758767,425.97772975876734
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,20,1765,363400450,1765,1558495,1765,17650,1765,353.0,1765,77.60517887291772,1765,2858,1765,4580954.155790807,1765,1050954.1557908067,1765,5410,1,10,0.2,0.0331356543222077,0,2415.413878273621,415.41387827362087,300000,1765,10,0.2,0.0915718469315937,50,9202.187992078292,7202.187992078292,205892.6062322946,883.0,10.0,0.2,0.043968939871341484,1.6192634560906516,2595.441448040117,595.4414480401172
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,21,1716,354938160,1716,1473186,1716,17160,1716,343.20000000000005,1716,75.01509800960098,1716,2573,1716,4307191.792841288,1716,875191.7928412883,1716,8260,1,10,0.2,0.0324362570784297,0,2100.0128887486867,100.01288874868668,299910,1716,10,0.2,0.0743085253180328,50,4563.337411212742,2563.337411212742,206840.41958041958,858.5,10.0,0.20000000000000004,0.04371509208018705,1.4994172494172495,2510.018527296788,510.018527296788
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,22,1761,364014260,1761,1551441,1761,17610,1761,352.20000000000005,1761,77.08934897015335,1761,2630,1761,4402127.752631053,1761,880127.7526310532,1761,12110,1,10,0.2,0.0322924578669746,0,2413.545558370247,413.5455583702469,299960,1761,10,0.2,0.0848547844659508,50,9484.699554167022,7484.699554167022,206708.8358886996,881.0,10.0,0.20000000000000004,0.043775893793386346,1.4934696195343555,2499.7886159176905,499.78861591769066
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,23,1738,358902210,1738,1511191,1738,17380,1738,347.6,1738,76.19894174494327,1738,2799,1738,4396140.270634426,1738,920140.2706344258,1738,6860,1,10,0.2,0.0320596298630362,0,2100.006449390426,100.00644939042604,299980,1738,10,0.2,0.0683990498174672,50,4106.821386514987,2106.821386514988,206502.99769850404,869.5,10.0,0.2,0.04384288938144031,1.6104718066743384,2529.4247817229148,529.4247817229148
results\cec2017_ablation6\ablation6_restart_details.csv,ARPSO-Fixed,20,F20,24,1695,354808700,1695,1437360,1695,16950,1695,339.0,1695,73.86791153360276,1695,2693,1695,4177123.272302735,1695,787123.2723027351,1695,7960,1,10,0.2,0.031426750878382,0,2100.0025735247737,100.00257352477364,300000,1695,10,0.2,0.0618360172062612,50,4553.348007058272,2553.348007058272,209326.66666666666,848.0,10.0,0.2,0.04357988881038511,1.5887905604719763,2464.3795116830297,464.3795116830296
